Season,Week,Name,Fan_Vote_Mean,Fan_Vote_Std,Judge_Score,Result,Method,Judge_Save_Rule
1,1,John O'Hurley,0.1645326621953358,0.14767075622206138,20.0,Safe,rank,False
1,1,Kelly Monaco,0.17102476118670407,0.14826612266335737,13.0,Safe,rank,False
1,1,Evander Holyfield,0.16355581595168275,0.14464037288321577,18.0,Safe,rank,False
1,1,Rachel Hunter,0.1696719837912878,0.1521357934148453,20.0,Safe,rank,False
1,1,Joey McIntyre,0.16590590186647536,0.14748460850798847,20.0,Safe,rank,False
1,1,Trista Sutter,0.16530887500851377,0.14793021344781557,18.0,Safe,rank,False
1,2,John O'Hurley,0.12705306656269913,0.1347948628452941,26.0,Safe,rank,False
1,2,Kelly Monaco,0.21935999140096044,0.1511378728315924,17.0,Safe,rank,False
1,2,Evander Holyfield,0.2982950578139518,0.14648748852449744,14.0,Safe,rank,False
1,2,Rachel Hunter,0.15460870135107382,0.1454868742824116,24.0,Safe,rank,False
1,2,Joey McIntyre,0.17943428623134752,0.1605687310613987,21.0,Safe,rank,False
1,2,Trista Sutter,0.021248896639969057,0.02835149494943861,19.0,Eliminated,rank,False
1,3,John O'Hurley,0.13797922067463458,0.13169935118256532,24.0,Safe,rank,False
1,3,Kelly Monaco,0.3677190639530824,0.15906362095694188,21.0,Safe,rank,False
1,3,Evander Holyfield,0.16382600134625533,0.06963100615660034,13.0,Eliminated,rank,False
1,3,Rachel Hunter,0.1540463665271106,0.1546307774084212,26.0,Safe,rank,False
1,3,Joey McIntyre,0.17642934749891712,0.17231028737663828,22.0,Safe,rank,False
1,4,John O'Hurley,0.421880278685155,0.1535977815280729,21.0,Safe,rank,False
1,4,Kelly Monaco,0.19806036496000573,0.06986077675169922,26.0,Safe,rank,False
1,4,Rachel Hunter,0.04863086053870527,0.04458652403786859,25.0,Eliminated,rank,False
1,4,Joey McIntyre,0.33142849581614053,0.13248701211672861,20.0,Safe,rank,False
1,5,John O'Hurley,0.4457463861532171,0.1695236463242017,27.0,Safe,rank,False
1,5,Kelly Monaco,0.20681237562717897,0.09241180194852411,23.5,Safe,rank,False
1,5,Joey McIntyre,0.34744123821960515,0.1466198908718362,22.5,Safe,rank,False
1,6,John O'Hurley,0.6692368330563561,0.16426059686094657,27.0,Safe,rank,False
1,6,Kelly Monaco,0.3307631669436421,0.16426059686094663,27.5,Safe,rank,False
2,1,Tatum O'Neal,0.09540370155021916,0.0929276313962732,23.0,Safe,rank,False
2,1,Tia Carrere,0.09779729852634944,0.0987094258921278,20.0,Safe,rank,False
2,1,George Hamilton,0.12373747234048106,0.09511783294554182,18.0,Safe,rank,False
2,1,Lisa Rinna,0.1163351433856644,0.1044415464005585,19.0,Safe,rank,False
2,1,Stacy Keibler,0.09954047055560875,0.09813096146359013,22.0,Safe,rank,False
2,1,Jerry Rice,0.1018149428617734,0.09739043006716988,21.0,Safe,rank,False
2,1,Giselle Fernandez,0.10993510424141896,0.10182510594083627,23.0,Safe,rank,False
2,1,Master P,0.13444523542817063,0.09764100438696155,12.0,Safe,rank,False
2,1,Drew Lachey,0.10376992648763886,0.09543523159691307,24.0,Safe,rank,False
2,1,Kenny Mayne,0.01722070462267493,0.01854434693868621,13.0,Eliminated,rank,False
2,2,Tatum O'Neal,0.027080818095937424,0.030660001025532235,17.0,Eliminated,rank,False
2,2,Tia Carrere,0.11157749361784287,0.10276825504137999,22.0,Safe,rank,False
2,2,George Hamilton,0.13565149279175306,0.10771851557750184,22.0,Safe,rank,False
2,2,Lisa Rinna,0.13968962209249963,0.11769039890464995,20.0,Safe,rank,False
2,2,Stacy Keibler,0.10908608073270595,0.11529444264188655,29.0,Safe,rank,False
2,2,Jerry Rice,0.10468650910223487,0.10862630954419678,23.0,Safe,rank,False
2,2,Giselle Fernandez,0.12066412297032922,0.11342529658760457,24.0,Safe,rank,False
2,2,Master P,0.15123510819412175,0.1059977791332352,16.0,Safe,rank,False
2,2,Drew Lachey,0.10032875240257492,0.10330951812371884,27.0,Safe,rank,False
2,3,Tia Carrere,0.08873533066799397,0.0888648123108334,26.0,Safe,rank,False
2,3,George Hamilton,0.14620667675525637,0.12134253464913065,22.0,Safe,rank,False
2,3,Lisa Rinna,0.1559545487960261,0.10347768997742263,25.0,Safe,rank,False
