Season,Celebrity,Week,Judge_Score_Total,Num_Judges,Status,Eliminated_Week_Idx,Judge_Share,Judge_Rank,Num_Contestants,Judge_Rank_Norm
1,John O'Hurley,1,20.0,3,Safe,11,0.1834862385321101,1.0,6,0.16666666666666666
1,Kelly Monaco,1,13.0,3,Safe,11,0.11926605504587157,6.0,6,1.0
1,Evander Holyfield,1,18.0,3,Safe,3,0.1651376146788991,4.0,6,0.6666666666666666
1,Rachel Hunter,1,20.0,3,Safe,4,0.1834862385321101,1.0,6,0.16666666666666666
1,Joey McIntyre,1,20.0,3,Safe,11,0.1834862385321101,1.0,6,0.16666666666666666
1,Trista Sutter,1,18.0,3,Safe,2,0.1651376146788991,4.0,6,0.6666666666666666
1,John O'Hurley,2,26.0,3,Safe,11,0.21487603305785125,1.0,6,0.16666666666666666
1,Kelly Monaco,2,17.0,3,Safe,11,0.14049586776859505,5.0,6,0.8333333333333334
1,Evander Holyfield,2,14.0,3,Safe,3,0.11570247933884298,6.0,6,1.0
1,Rachel Hunter,2,24.0,3,Safe,4,0.19834710743801653,2.0,6,0.3333333333333333
1,Joey McIntyre,2,21.0,3,Safe,11,0.17355371900826447,3.0,6,0.5
1,Trista Sutter,2,19.0,3,Eliminated,2,0.15702479338842976,4.0,6,0.6666666666666666
1,John O'Hurley,3,24.0,3,Safe,11,0.22641509433962265,2.0,5,0.4
1,Kelly Monaco,3,21.0,3,Safe,11,0.19811320754716982,4.0,5,0.8
1,Evander Holyfield,3,13.0,3,Eliminated,3,0.12264150943396226,5.0,5,1.0
1,Rachel Hunter,3,26.0,3,Safe,4,0.24528301886792453,1.0,5,0.2
1,Joey McIntyre,3,22.0,3,Safe,11,0.20754716981132076,3.0,5,0.6
1,John O'Hurley,4,21.0,3,Safe,11,0.22826086956521738,3.0,4,0.75
1,Kelly Monaco,4,26.0,3,Safe,11,0.2826086956521739,1.0,4,0.25
1,Rachel Hunter,4,25.0,3,Eliminated,4,0.2717391304347826,2.0,4,0.5
1,Joey McIntyre,4,20.0,3,Safe,11,0.21739130434782608,4.0,4,1.0
1,John O'Hurley,5,27.0,3,Safe,11,0.3698630136986301,1.0,3,0.3333333333333333
1,Kelly Monaco,5,23.5,3,Safe,11,0.3219178082191781,2.0,3,0.6666666666666666
1,Joey McIntyre,5,22.5,3,Safe,11,0.3082191780821918,3.0,3,1.0
1,John O'Hurley,6,27.0,3,Safe,11,0.4954128440366973,2.0,2,1.0
1,Kelly Monaco,6,27.5,3,Safe,11,0.5045871559633027,1.0,2,0.5
2,Tatum O'Neal,1,23.0,3,Safe,2,0.11794871794871795,2.0,10,0.2
2,Tia Carrere,1,20.0,3,Safe,5,0.10256410256410256,6.0,10,0.6
2,George Hamilton,1,18.0,3,Safe,6,0.09230769230769231,8.0,10,0.8
2,Lisa Rinna,1,19.0,3,Safe,7,0.09743589743589744,7.0,10,0.7
2,Stacy Keibler,1,22.0,3,Safe,11,0.11282051282051282,4.0,10,0.4
2,Jerry Rice,1,21.0,3,Safe,11,0.1076923076923077,5.0,10,0.5
2,Giselle Fernandez,1,23.0,3,Safe,3,0.11794871794871795,2.0,10,0.2
2,Master P,1,12.0,3,Safe,4,0.06153846153846154,10.0,10,1.0
2,Drew Lachey,1,24.0,3,Safe,11,0.12307692307692308,1.0,10,0.1
2,Kenny Mayne,1,13.0,3,Eliminated,1,0.06666666666666667,9.0,10,0.9
2,Tatum O'Neal,2,17.0,3,Eliminated,2,0.085,8.0,9,0.8888888888888888
2,Tia Carrere,2,22.0,3,Safe,5,0.11,5.0,9,0.5555555555555556
2,George Hamilton,2,22.0,3,Safe,6,0.11,5.0,9,0.5555555555555556
2,Lisa Rinna,2,20.0,3,Safe,7,0.1,7.0,9,0.7777777777777778
2,Stacy Keibler,2,29.0,3,Safe,11,0.145,1.0,9,0.1111111111111111
2,Jerry Rice,2,23.0,3,Safe,11,0.115,4.0,9,0.4444444444444444
2,Giselle Fernandez,2,24.0,3,Safe,3,0.12,3.0,9,0.3333333333333333
2,Master P,2,16.0,3,Safe,4,0.08,9.0,9,1.0
2,Drew Lachey,2,27.0,3,Safe,11,0.135,2.0,9,0.2222222222222222
2,Tia Carrere,3,26.0,3,Safe,5,0.14285714285714285,3.0,8,0.375
2,George Hamilton,3,22.0,3,Safe,6,0.12087912087912088,5.0,8,0.625
2,Lisa Rinna,3,25.0,3,Safe,7,0.13736263736263737,4.0,8,0.5
2,Stacy Keibler,3,27.0,3,Safe,11,0.14835164835164835,1.0,8,0.125
2,Jerry Rice,3,19.0,3,Safe,11,0.1043956043956044,7.0,8,0.875
2,Giselle Fernandez,3,22.0,3,Eliminated,3,0.12087912087912088,5.0,8,0.625
2,Master P,3,14.0,3,Safe,4,0.07692307692307693,8.0,8,1.0
2,Drew Lachey,3,27.0,3,Safe,11,0.14835164835164835,1.0,8,0.125
2,Tia Carrere,4,25.0,3,Safe,5,0.15822784810126583,4.0,7,0.5714285714285714
2,George Hamilton,4,21.0,3,Safe,6,0.13291139240506328,6.0,7,0.8571428571428571
